City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Riyadh,24.6877,46.7219,22,23,0,5.14,SA,1614920027
Cidreira,-30.1811,-50.2056,22.32,90,100,3.48,BR,1614920210
Allahabad,25.45,81.85,31.42,12,29,2.27,IN,1614919988
Alofi,-19.0595,-169.9187,28,78,93,2.06,NU,1614920212
Avarua,-21.2078,-159.775,28,78,40,2.06,CK,1614920212
Port Elizabeth,-33.918,25.5701,18,88,0,5.14,ZA,1614920214
Nikolskoye,59.7035,30.7861,-7,86,20,4,RU,1614920214
Punta Arenas,-53.15,-70.9167,14,44,90,7.72,CL,1614920004
Saint Paul Harbor,57.79,-152.4072,1,64,1,3.09,US,1614920216
Khovd,48.0056,91.6419,-3.48,64,50,1.46,MN,1614920217
Northam,51.0333,-4.2167,3.89,81,64,0.89,GB,1614920218
Guerrero Negro,27.9769,-114.0611,14.86,76,97,5.05,MX,1614919930
Grand-Lahou,5.1367,-5.0242,26.46,88,50,5.33,CI,1614920219
Longonjo,-12.9067,15.2533,15.55,88,77,0.46,AO,1614920221
Chinchani,19.8667,72.7,31.26,25,0,3.7,IN,1614920223
Tegul'det,57.3064,88.1667,-2.56,92,100,5.35,RU,1614920225
Tuatapere,-46.1333,167.6833,15,77,100,1.79,NZ,1614920226
Mar del Plata,-38.0023,-57.5575,18,94,75,4.12,AR,1614920228
Quatre Cocos,-20.2078,57.7625,28.89,78,75,1.03,MU,1614920228
Padang,-0.9492,100.3543,30,70,20,1.03,ID,1614920052
‘Ewa Beach,21.3156,-158.0072,24,57,1,4.12,US,1614920230
Baicheng,45.6167,122.8167,-8.06,63,39,6.57,CN,1614920231
Nanortalik,60.1432,-45.2371,-0.17,98,100,2.09,GL,1614920233
Eyl,7.9803,49.8164,25.33,67,86,7.22,SO,1614920234
Hilo,19.7297,-155.09,23,60,1,3.09,US,1614920235
Sabang,5.8933,95.3214,28.55,73,0,3.39,ID,1614920236
Abu Samrah,35.3029,37.1841,9.37,85,0,7.81,SY,1614920238
Omsukchan,62.5333,155.8,-28.32,81,100,10.45,RU,1614920239
Carnarvon,-24.8667,113.6333,28,69,25,5.66,AU,1614920239
Vaini,-21.2,-175.2,29,74,75,2.57,TO,1614920241
Cayenne,4.9333,-52.3333,26.11,94,75,2.06,GF,1614920242
Mataura,-46.1927,168.8643,15,77,100,1.79,NZ,1614920243
George Town,5.4112,100.3354,32,58,40,2.57,MY,1614920244
Sabha,27.0377,14.4283,12.39,39,0,9.92,LY,1614920244
Dubbo,-32.25,148.6167,29,23,0,6.69,AU,1614920245
Bilibino,68.0546,166.4372,-28.79,84,100,3.07,RU,1614920246
Kumluca,36.3703,30.2869,13.1,39,0,1.45,TR,1614920247
Lebu,-37.6167,-73.65,14.54,83,0,6.93,CL,1614920248
Cabo San Lucas,22.8909,-109.9124,19.44,62,97,0.89,MX,1614920140
Narsaq,60.9167,-46.05,10,32,75,5.14,GL,1614920249
Saint George,37.1041,-113.5841,11,40,1,1.54,US,1614920096
Mount Isa,-20.7333,139.5,35,9,36,3.6,AU,1614920251
Atuona,-9.8,-139.0333,26.5,75,10,6.47,PF,1614920251
Sinnamary,5.3833,-52.95,25.23,85,100,4.65,GF,1614920252
Lancaster,40.2504,-76.2499,-1,43,1,6.17,US,1614919978
Leshukonskoye,64.8989,45.7622,-17.98,92,98,2.91,RU,1614920254
Poronaysk,49.2167,143.1167,-1.76,99,64,7.02,RU,1614920255
Saskylakh,71.9167,114.0833,-33.38,82,24,3.67,RU,1614920255
Ust-Kuyga,70.0167,135.6,-27.26,83,100,1.93,RU,1614920257
Mumbwa,-14.9783,27.0619,16.94,93,90,1.09,ZM,1614920257
Saint-Philippe,-21.3585,55.7679,29,61,0,1.03,RE,1614920259
Geraldton,-28.7667,114.6,29,54,75,6.17,AU,1614920261
Anadyr,64.75,177.4833,-20,77,75,7,RU,1614920261
Bredasdorp,-34.5322,20.0403,11,93,1,1.54,ZA,1614920263
De-Kastri,51.4667,140.7833,-16.64,90,100,5.62,RU,1614920264
São Lourenço do Sul,-31.3653,-51.9783,21.11,99,100,3.32,BR,1614920266
Camacha,33.0833,-16.3333,16,82,40,9.77,PT,1614920267
Bundaberg,-24.85,152.35,28,47,75,6.69,AU,1614920003
Hobart,-42.8794,147.3294,14.44,44,75,8.75,AU,1614920012
Tasiilaq,65.6145,-37.6368,1,93,90,0.46,GL,1614920269
Bethel,41.3712,-73.414,-4.44,54,5,2.24,US,1614920271
Waipawa,-41.4122,175.5153,20,56,20,8.75,NZ,1614920272
Cianorte,-23.6633,-52.605,20.03,100,100,2.37,BR,1614920272
Winslow,35.0242,-110.6974,3,44,1,2.06,US,1614920273
Porto Tolle,44.9497,12.3245,8.33,85,94,2.87,IT,1614920273
Colorado,-22.8375,-51.9731,20.78,98,100,2.95,BR,1614920275
Hurricane,37.1753,-113.2899,11,40,1,1.54,US,1614920277
Albany,42.6001,-73.9662,-5,36,90,9.26,US,1614920279
Ouésso,1.6136,16.0517,21.23,74,6,0.86,CG,1614920280
Omaruru,-21.4333,15.9333,19.09,49,5,2.68,NA,1614920281
Scarborough,54.2797,-0.4044,2.78,75,96,0.89,GB,1614920282
São João da Barra,-21.6403,-41.0511,24.08,87,86,4.89,BR,1614920283
Lompoc,34.6391,-120.4579,10,81,1,1.87,US,1614920283
High Level,58.5169,-117.136,-5,74,75,3.6,CA,1614920285
Hay River,60.8156,-115.7999,-13,78,100,3.09,CA,1614920285
Morón,-34.6534,-58.6198,23.89,94,6,0.45,AR,1614920065
Harper,4.375,-7.7169,26.19,87,91,4.04,LR,1614920288
Yangi Marg`ilon,40.4272,71.7189,10,43,40,5.14,UZ,1614920289
Castro,-24.7911,-50.0119,18.16,94,100,3.57,BR,1614920291
Mutare,-18.9707,32.6709,17.73,95,30,1.16,ZW,1614920292
Tuktoyaktuk,69.4541,-133.0374,-26,76,1,6.69,CA,1614920294
Tautira,-17.7333,-149.15,29,74,75,1.54,PF,1614920295
Sitka,57.0531,-135.33,5,70,90,3.43,US,1614920296
Kawalu,-7.3817,108.2082,32.47,47,91,1.59,ID,1614920298
Homer,59.6425,-151.5483,2.22,64,90,2.57,US,1614920298
Arraial do Cabo,-22.9661,-42.0278,24.72,87,100,7.54,BR,1614920300
Charter Township of Clinton,42.587,-82.9199,-4.44,73,1,4.36,US,1614920105
Chokurdakh,70.6333,147.9167,-22.15,91,100,9.23,RU,1614920301
Inírida,3.8653,-67.9239,23.01,94,89,0.88,CO,1614920302
Beverly Hills,34.0736,-118.4004,14.44,82,1,1.35,US,1614920070
Morondava,-20.2833,44.2833,24.19,91,100,5.99,MG,1614920129
Bengkulu,-3.8004,102.2655,30.16,66,22,3.85,ID,1614920304
Yunhe,34.0833,119.7167,16.94,47,88,3.89,CN,1614920304
Cherskiy,68.75,161.3,-24.18,89,100,1.77,RU,1614920306
Uitenhage,-33.7576,25.3971,18,88,0,5.14,ZA,1614920306
Vidim,56.4088,103.1106,-11.06,92,68,4.13,RU,1614920308
Korla,41.7597,86.1469,8.61,50,44,2.51,CN,1614920310
Santa Cruz de la Sierra,-17.8,-63.1667,23,94,90,1.54,BO,1614920086
Pevek,69.7008,170.3133,-18.77,89,100,5.19,RU,1614920311
Iqaluit,63.7506,-68.5145,-9,57,90,6.17,CA,1614920314
Yerbogachën,61.2767,108.0108,-20.65,89,96,4.5,RU,1614920315
Lima,-12.0432,-77.0282,23,83,0,2.06,PE,1614920272
Yur’yevets,57.3201,43.1041,-13.83,96,44,2.68,RU,1614920317
Aklavik,68.2191,-135.0107,-26,76,58,2.57,CA,1614920318
Mossamedes,-15.1961,12.1522,22.88,86,29,1.09,AO,1614920320
Peleduy,59.6289,112.7406,-18.37,81,57,3.58,RU,1614920321
Zeerust,-25.5369,26.0751,15,82,0,1.54,ZA,1614920322
Kortkeros,61.8106,51.5806,-16,85,40,3,RU,1614920324
Laas,46.6166,10.7002,2.22,100,0,2.06,IT,1614920324
Saint-François,46.4154,3.9054,6.11,93,90,2.57,FR,1614920326
Port Hedland,-20.3167,118.5667,35,43,20,4.63,AU,1614920326
Sipe Sipe,-17.45,-66.3833,18,59,75,3.6,BO,1614920328
Zhangye,38.9342,100.4517,6.63,51,56,2.82,CN,1614920329
Chui,-33.6971,-53.4616,20.88,93,68,2.55,UY,1614920331
Bad Oldesloe,53.8117,10.3742,-2.22,91,0,2.8,DE,1614920333
Anloga,5.7947,0.8973,27.3,85,3,6.57,GH,1614920334
Barcelos,41.5388,-8.6151,10.56,100,20,2.06,PT,1614920072
Stann Creek Town,16.9692,-88.2321,25.56,80,0,0.45,BZ,1614920335
Sur,22.5667,59.5289,30.46,32,0,0.46,OM,1614920336
Nehe,48.4833,124.8333,-15.5,80,0,6.51,CN,1614920338
Port-Gentil,-0.7193,8.7815,27.75,78,100,3.89,GA,1614920339
Gafanha da Encarnação,40.6181,-8.733,11.67,87,100,0.45,PT,1614920339
Ribeira Grande,38.5167,-28.7,14.42,69,85,3.36,PT,1614920341
Saldanha,-33.0117,17.9442,14,82,0,1.54,ZA,1614920342
Mirny,62.5353,113.9611,-23.23,87,66,3.72,RU,1614920343
Kavieng,-2.5744,150.7967,29.46,71,95,4.78,PG,1614920345
Raigarh,21.9,83.4,28,51,4,2.06,IN,1614920346
Hong Kong,22.2855,114.1577,21.67,89,91,2.24,HK,1614920225
Mahébourg,-20.4081,57.7,26,78,75,1.03,MU,1614920111
Hithadhoo,-0.6,73.0833,29.08,61,11,4.06,MV,1614920348
Dedza,-14.3779,34.3332,16.34,100,50,0.44,MW,1614920350
Yaan,7.3833,8.5667,22.71,90,29,2.53,NG,1614920352
Rocha,-34.4833,-54.3333,19.3,94,71,1.41,UY,1614920353
Bandarbeyla,9.4942,50.8122,25.14,72,78,6.19,SO,1614920355
Jaciara,-15.9653,-54.9683,20.32,92,83,1.37,BR,1614920356
Prome,18.8167,95.2167,37.36,10,29,1.2,MM,1614920357
Los Llanos de Aridane,28.6585,-17.9182,17,77,0,1.03,ES,1614920359
Lexington,37.9887,-84.4777,0,69,1,7.2,US,1614920362
San Vicente,-26.6167,-54.1333,18.14,100,23,0.74,AR,1614920303
General Roca,-39.0333,-67.5833,19,68,0,2.57,AR,1614920363
Rome,43.2128,-75.4557,-6,42,90,7.72,US,1614920364
Niceville,30.5169,-86.4822,14.44,82,1,3.6,US,1614920364
Salalah,17.0151,54.0924,23,49,0,1.54,OM,1614920365
Altay,47.8667,88.1167,-1.49,85,99,1.6,CN,1614920366
Progreso,21.2833,-89.6667,23,78,1,2.06,MX,1614920295
Upata,8.0086,-62.3989,23.89,93,90,0.45,VE,1614920368
Berezovyy,51.6667,135.7,-16.32,85,100,4.22,RU,1614920369
Kalianget,-7.05,113.9333,25.64,80,100,1.75,ID,1614920371
Tiznit Province,29.5833,-9.5,10.63,86,55,1.39,MA,1614920372
Caniço,32.6333,-16.85,16,77,20,1.03,PT,1614920373
Lüderitz,-26.6481,15.1594,19.04,59,0,5.07,NA,1614920374
Kiryat Gat,31.61,34.7642,10,93,40,1.54,IL,1614920374
Kruisfontein,-34.0033,24.7314,16.41,91,6,3.2,ZA,1614920375
Chernyshevskiy,63.0128,112.4714,-23.29,89,79,3.13,RU,1614920375
Kaitangata,-46.2817,169.8464,11.75,94,100,1.55,NZ,1614920376
Coquimbo,-29.9533,-71.3436,17,88,90,1.54,CL,1614920376
Redmond,47.674,-122.1215,8.33,94,100,1.38,US,1614920377
Yining,29.0361,114.5636,13.73,89,100,0.83,CN,1614920378
La Malbaie,47.6575,-70.1559,-11,52,100,5.14,CA,1614920380
Mezen',65.8522,44.24,-19.87,91,92,2.89,RU,1614920381
Nishihara,26.1842,127.7558,23,52,40,5.66,JP,1614920383
Shimoda,34.6667,138.95,12,87,75,4.63,JP,1614920384
Anori,-3.7728,-61.6442,23.22,98,96,0.89,BR,1614920386
Mount Gambier,-37.8333,140.7667,19,48,40,7.72,AU,1614920386
Annau,37.8876,58.516,9,66,40,4.12,TM,1614920388
Yanam,16.7333,82.2167,29,58,0,1.54,IN,1614920390
Maningrida,-12.0667,134.2667,33.31,56,3,3.01,AU,1614920391
Matara,5.9485,80.5353,30.48,54,2,1.36,LK,1614920392
Taltal,-25.4,-70.4833,18.59,80,48,1.11,CL,1614920394
Hermanus,-34.4187,19.2345,16.6,77,9,4.1,ZA,1614920395
Fortuna,40.5982,-124.1573,12.22,49,68,0.89,US,1614920396
Río Esteban,15.8333,-86.3,25,88,1,1.79,HN,1614920396
Gisborne,-38.6533,178.0042,24,41,0,4.49,NZ,1614920397
Grindavik,63.8424,-22.4338,4,93,75,3.6,IS,1614920399
Hervey Bay,-25.2986,152.8535,28,47,75,6.69,AU,1614920399
Cheremisinovo,51.8855,37.2646,0,74,75,5,RU,1614920401
Broome,42.2506,-75.833,-7.22,62,90,8.23,US,1614920405
Florianópolis,-27.6146,-48.5012,25.56,88,40,1.54,BR,1614920406
Santa Isabel,-23.3156,-46.2214,21.11,83,0,4.12,BR,1614920111
Lakhipur,26.0299,90.3041,26.87,24,1,2.27,IN,1614920409
Zverinogolovskoye,54.4586,64.8542,-0.63,95,100,10.17,RU,1614920413
Seoul,37.5683,126.9778,14,47,0,3.6,KR,1614919803
Te Anau,-45.4167,167.7167,10.5,85,99,1.93,NZ,1614920413
Beyneu,45.3167,55.2,1.64,82,0,5.53,KZ,1614920414
Clyde River,70.4692,-68.5914,-30,69,1,6.69,CA,1614920415
Baft,29.234,56.6057,13.27,43,20,2.53,IR,1614920417
Matelândia,-25.2408,-53.9964,23,100,75,0.51,BR,1614920418
Almaznyy,48.0448,40.045,3,81,40,7,RU,1614920419
Husavik,66.0449,-17.3389,5,60,0,7.72,IS,1614920422
Maţāy,28.419,30.7792,9.92,80,0,2.47,EG,1614920422
Novovarshavka,54.1721,74.6946,-7.15,94,86,7.74,RU,1614920424
Okha,53.5739,142.9478,-21.41,81,100,7.1,RU,1614920426
San Lazaro,18.0387,-88.6622,21.67,92,0,0.45,BZ,1614920427
São Filipe,14.8961,-24.4956,20.83,79,98,3.68,CV,1614920428
Vardø,70.3705,31.1107,-9,79,20,8.23,NO,1614920430
Lavrentiya,65.5833,-171,-17.87,87,57,3.48,RU,1614920431
Gondanglegi,-7.7479,112.0132,30.9,60,81,0.58,ID,1614920433
La Romana,18.4273,-68.9728,21.58,82,0,1.15,DO,1614920419
Callaway,30.153,-85.5699,14,82,1,2.57,US,1614920434
Kharp,66.8014,65.8081,-13.8,93,100,1.29,RU,1614920434
Meulaboh,4.1363,96.1285,29.79,67,5,0.91,ID,1614920435
Río Gallegos,-51.6226,-69.2181,14,72,0,1.54,AR,1614920313
Tateyama,34.9833,139.8667,16.11,55,75,2.57,JP,1614920437
Manali,13.1667,80.2667,29,58,40,1.03,IN,1614920163
Saint-Augustin,51.226,-58.6502,-4.49,98,100,4.98,CA,1614920439
Vanavara,60.34,102.2797,-13.51,94,100,3.99,RU,1614920440
Buala,-8.145,159.5921,28.6,73,46,3.71,SB,1614920442
Hīt,33.6416,42.8251,14.05,60,55,11.8,IQ,1614920444
Tondano,1.3038,124.9112,27,83,40,3.6,ID,1614920445
Vao,-22.6667,167.4833,25.51,69,49,2.15,NC,1614920447
Chennai,13.0878,80.2785,29,58,40,1.03,IN,1614920205
Zhigansk,66.7697,123.3711,-32.5,80,26,0.84,RU,1614920448
Buchanan,5.8808,-10.0467,25,94,75,3.49,LR,1614920449
Aragarças,-15.8975,-52.2508,21.19,92,60,0.39,BR,1614920451
Kahului,20.8947,-156.47,23,60,40,5.14,US,1614920452
Hasaki,35.7333,140.8333,17,59,75,4.63,JP,1614920454
Tooele,40.5308,-112.2983,7.22,70,1,4.63,US,1614920454
Esna,25.2934,32.554,10,62,0,2.06,EG,1614920456
Sovetskiy,61.3614,63.5842,-11.71,95,18,0.53,RU,1614920456
Mange,8.9167,-12.85,26,78,75,3.6,SL,1614920458
Haines Junction,60.7522,-137.5108,-14,92,75,0.69,CA,1614920459
Katsuura,35.1333,140.3,16,55,75,2.57,JP,1614920461
Bemidji,47.4736,-94.8803,2,64,90,1.84,US,1614920463
Frontignan,43.4485,3.754,6,100,38,2.06,FR,1614920464
Rantepao,-2.9701,119.8978,25.04,80,81,0.18,ID,1614920465
Pierre,44.3683,-100.351,5.56,65,1,2.57,US,1614920460
Datong,40.0936,113.2914,6.97,53,19,4.62,CN,1614920466
Bezhetsk,57.7851,36.6965,-8.08,97,97,3.89,RU,1614920467
Constitución,-35.3333,-72.4167,16.26,74,0,3.73,CL,1614920467
Rovinj,45.08,13.64,10,93,95,1.03,HR,1614920469
Acapulco de Juárez,16.8634,-99.8901,23.4,76,4,2.08,MX,1614920469
Yurty,56.0498,97.6348,-5.46,94,97,2.62,RU,1614920471
Picota,-6.9197,-76.3304,21.75,88,73,0.44,PE,1614920473
Klaksvík,62.2266,-6.589,3,75,75,5.14,FO,1614920473
Tiksi,71.6872,128.8694,-29.12,86,93,2.05,RU,1614920474
Kaduna,10.5222,7.4383,21.43,20,16,4.86,NG,1614920474
Ixtacomitán,17.4167,-93.1,21.78,91,93,1.32,MX,1614920475
Bezhanitsy,56.9767,29.8907,-3.86,98,76,0.27,RU,1614920476
Santa Maria,-29.6842,-53.8069,19.6,96,100,1.36,BR,1614920477
Taoudenni,22.6783,-3.9836,17.88,27,0,4.49,ML,1614920479
San Juan,-31.5375,-68.5364,27.25,35,1,2.24,AR,1614920404
East London,-33.0153,27.9116,19,82,0,5.66,ZA,1614920481
Tessalit,20.1986,1.0114,19.34,22,96,6.3,ML,1614920482
Ponta do Sol,32.6667,-17.1,14.44,60,55,1.79,PT,1614920483
Coyhaique,-45.5752,-72.0662,11.49,83,14,1.51,CL,1614920485
Yalutorovsk,56.6536,66.3006,-3.42,97,100,8.36,RU,1614920487
Newcastle,-32.9272,151.7765,24,57,90,9.26,AU,1614920487
Vila Velha,-20.3297,-40.2925,25,83,0,4.12,BR,1614920219
Victor Harbor,-35.5667,138.6167,25,60,20,9.77,AU,1614920489
Wanning,18.8003,110.3967,26.62,72,8,4.1,CN,1614920491
Vestmannaeyjar,63.4427,-20.2734,6.04,79,100,5.56,IS,1614920491
San Jerónimo,-11.9472,-75.2829,8.64,72,99,0.88,PE,1614920493
Kutum,14.2,24.6667,10.39,42,17,2.83,SD,1614920494
Poum,-20.2333,164.0167,24.28,90,98,4.06,NC,1614920496
Huánuco,-9.9329,-76.2415,16.01,66,99,0.6,PE,1614920410
Bajil,15.0584,43.2851,25.16,79,12,2.45,YE,1614920435
Lorengau,-2.0226,147.2712,28.66,77,51,5.07,PG,1614920499
Ilulissat,69.2167,-51.1,-7,73,79,4.63,GL,1614920500
Jaisalmer,26.9147,70.9181,29.58,12,1,3.13,IN,1614920501
Vila Franca do Campo,37.7167,-25.4333,13,76,20,8.23,PT,1614920502
Krasnogvardeyskoye,45.8456,41.5186,2.04,83,11,5.01,RU,1614920454
Eisenach,50.9833,10.3167,2.22,92,100,0.45,DE,1614920504
Gubbio,43.3545,12.5725,6.67,84,35,1.73,IT,1614920504
Bambous Virieux,-20.3428,57.7575,28.89,78,75,1.03,MU,1614920506
Ahipara,-35.1667,173.1667,20.32,63,4,3.08,NZ,1614920507
Matagami,49.7502,-77.6328,-19,71,75,6.17,CA,1614920509
Chișinău,47.0056,28.8575,2,87,0,2.57,MD,1614920256
Hammerfest,70.6634,23.6821,-5,86,90,5.14,NO,1614920511
Whitehorse,60.7161,-135.0538,-6,73,1,2.06,CA,1614920512
Ampanihy,-24.7,44.75,24.89,79,22,1.42,MG,1614920513
Changji,44.0167,87.3167,-2,80,51,3,CN,1614920515
Gamba,-2.65,10,25.9,88,99,1.55,GA,1614920516
Corpus Christi,27.8006,-97.3964,18.89,82,90,6.17,US,1614920487
Vanimo,-2.6741,141.3028,29.91,65,92,5.6,PG,1614920517
Vysokogornyy,50.1167,139.15,-11.77,94,100,2.13,RU,1614920518
Louis Trichardt,-23.0439,29.9032,19.12,62,1,0.65,ZA,1614920475
Khatanga,71.9667,102.5,-29.31,80,2,4.63,RU,1614920520
Upernavik,72.7868,-56.1549,-25.86,81,1,7.26,GL,1614920521
Hammond,41.5834,-87.5,0,74,1,3.09,US,1614920522
Paka,4.6374,103.4368,29,79,40,3.09,MY,1614920524
Beringovskiy,63.05,179.3167,-21.62,85,64,3.94,RU,1614920526
Córdoba,-31.4135,-64.1811,22.78,94,20,3.09,AR,1614920527
Mizdah,31.4451,12.9801,10.68,45,100,5.67,LY,1614920527
Diffa,13.3154,12.6113,19.35,29,0,4.61,NE,1614920528
Straumen,63.8709,11.2999,1.11,93,75,6.17,NO,1614920528
Izumo,35.3667,132.7667,11,93,75,7.2,JP,1614920529
Severo-Kuril'sk,50.6789,156.125,1.08,90,97,8.66,RU,1614920529
Vestmanna,62.1564,-7.1664,3,75,75,5.14,FO,1614920530
Noumea,-22.2763,166.4572,27,69,75,2.57,NC,1614920412
Amapá,1,-52,21.65,98,100,0.78,BR,1614920532
Susurluk,39.9136,28.1578,-1,100,0,2.98,TR,1614920533
Aktas,49.7789,72.9608,-10,85,98,9,KZ,1614920535
Bāglung,28.2719,83.5898,23.23,20,0,2.19,NP,1614920536
Madang,-5.2246,145.7966,32.55,57,100,3.33,PG,1614920538
Nurota,40.5614,65.6886,5,60,0,3.09,UZ,1614920538
Kavaratti,10.5669,72.642,28.57,58,21,3.81,IN,1614920539
Chara,56.9064,118.2631,-26.34,73,0,0.88,RU,1614920540
Prachuap Khiri Khan,12.2167,99.75,31,66,20,3.09,TH,1614920508
San Quintín,30.4833,-115.95,13.7,80,60,4.06,MX,1614920542
Talara,-4.5772,-81.2719,24.24,79,79,3.51,PE,1614920543
Tommot,58.9564,126.2925,-24.02,84,100,5.47,RU,1614920544
Oddur,4.1213,43.8894,22.93,57,88,8.84,SO,1614920545
Vawkavysk,53.1561,24.4513,-4,93,0,3,BY,1614920481
Sheltozero,61.3667,35.3667,-15.36,94,43,2.55,RU,1614920547
Boyolangu,-8.1181,111.8935,30.96,53,58,2.85,ID,1614920549
Nome,64.5011,-165.4064,-12,85,90,8.75,US,1614920550
Fort Saint James,54.4333,-124.25,0.67,93,100,1.78,CA,1614920552
Aitape,-3.1374,142.3475,28.93,75,99,6.12,PG,1614920553
Longyearbyen,78.2186,15.6401,-14.61,90,99,4.52,SJ,1614920458
Hualmay,-11.0964,-77.6139,22.34,81,98,2.2,PE,1614920550
Port Blair,11.6667,92.75,29,74,40,4.63,IN,1614920555
Konstantinovka,49.6167,127.9833,-17.67,83,17,6.68,RU,1614920557
Faya,18.3851,42.4509,13,62,0,0.35,SA,1614920558
Goderich,43.7501,-81.7165,-3,59,63,7.2,CA,1614920406
Safranbolu,41.2508,32.6942,2.96,72,0,0.91,TR,1614920560
Yuanping,38.7153,112.7575,14.69,31,46,2.58,CN,1614920561
Tactic,15.3333,-90.3,8.27,100,38,0.43,GT,1614920562
Vostok,46.4856,135.8833,-6.96,97,100,6,RU,1614920563
Shōbara,34.85,133.0167,13.89,82,75,5.14,JP,1614920564
Kailua,21.4022,-157.7394,23,68,20,6.17,US,1614920565
Trincomalee,8.5711,81.2335,27.55,67,48,5.19,LK,1614920566
Honiara,-9.4333,159.95,28.32,72,96,3.11,SB,1614920566
Ancud,-41.8697,-73.8203,11.11,93,0,3.09,CL,1614920568
Asău,46.4333,26.4,5,43,67,2.58,RO,1614920569
Kon Tum,14.35,108,36.36,15,0,0.96,VN,1614920570
Kaura Namoda,12.5898,6.5779,22.08,18,0,5.62,NG,1614920572
Portland,45.5234,-122.6762,9.44,87,90,2.57,US,1614920411
Neenah,44.1858,-88.4626,-3,46,1,1.54,US,1614920574
Denpasar,-8.65,115.2167,28,83,40,7.2,ID,1614920316
Sibolga,1.7427,98.7792,30.35,62,20,2.61,ID,1614920575
Cedar City,37.6775,-113.0619,1,55,1,2.06,US,1614920563
Airai,-8.9266,125.4092,22.1,89,45,0.62,TL,1614920577
Sisimiut,66.9395,-53.6735,-4.76,91,79,5.37,GL,1614920577
Half Moon Bay,37.4636,-122.4286,12,81,1,2.49,US,1614920579
Inhambane,-23.865,35.3833,24,94,20,2.07,MZ,1614920580
Lagoa,39.05,-27.9833,13.91,67,70,2.91,PT,1614920580
Wakuya,38.5333,141.1333,11,62,75,4.12,JP,1614920582
Palmer,42.1584,-72.3287,-5,39,20,8.75,US,1614920584
Médéa,36.2642,2.7539,11,93,75,1.54,DZ,1614920586
Santa Cruz,30.4202,-9.5982,13,100,75,0.6,MA,1614920291
Dingle,10.9995,122.6711,29.87,66,24,6.95,PH,1614920588
Touros,-5.1989,-35.4608,25,94,75,2.06,BR,1614920589
Tsimmerbude,54.675,20.1347,-0.56,93,75,2,RU,1614920591
Concordia,-31.393,-58.0209,20,100,100,1.79,AR,1614920346
Cabedelo,-6.9811,-34.8339,25,100,75,2.06,BR,1614920593
